"2021
Shs million"
"462
(420)
(201)"
"(621)
(374)
-"
(374)
"(533)
13,129"
"12,596"
"7 ,730
1 ,859
3 ,007"
"12,596"
,Share,,,Other,,,Retained,,,Proposed,,Total,,
,capital,,,Reserves,,,earnings,,,dividends,,,,
Shs '000,,,Shs '000,,,Shs '000,,,Shs '000,,,Shs '000,,
"2,715,768",,,"1,264,535",,,"42,523,636",,,-,,,"46,503,939",,
,"2,715,768",,,"1,264,535",,,"42,523,636",,,-,,,"46,503,939",
,-,,,-,,,"10,869,969",,,-,,,"10,869,969",
,-,,,"(688,266)",,,"(296,253)",,,-,,,"(984,519)",
-,,,"(688,266)",,,"10,573,716",,,-,,,"9,885,450",,
,-,,,"(688,266)",,,"10,573,716",,,-,,,"9,885,450",
,,,,,,,,,,,,,,
-,,,"58,003",,,-,,,-,,,"58,003",,
-,,,"(129,346)",,,"129,346",,,-,,,-,,
-,,,-,,,"(5,974,690)",,,"5,974,690",,,-,,
"2,715,768",,,"504,926",,,"47,252,008",,,"5,974,690",,,"56,447,392",,
